               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11142,             0.32913,            0.042906,            0.074482,            0.050109,             0.04026,            0.012335,             0.10102,             0.26361,            0.036722,            0.070357,           0.0032937,           0.0032937
                   1,            0.094077,             0.27665,             0.03326,             0.87092,            0.085487,              0.1126,            0.045043,            0.087738,             0.26133,            0.031284,             0.03992,           0.0061896,           0.0061896
                   2,            0.082945,             0.29464,            0.029853,             0.39001,             0.24506,             0.15767,            0.070762,            0.074534,             0.23687,            0.028881,           0.0090424,           0.0086456,           0.0086456
                   3,            0.076069,             0.28721,            0.028356,              0.4163,             0.43117,             0.24104,             0.11639,            0.067368,             0.22787,            0.028029,             0.00802,             0.00802,             0.00802
                   4,            0.070187,             0.28437,            0.026789,             0.18982,             0.45193,             0.22727,             0.10339,            0.066189,              0.2247,            0.025408,             0.00802,             0.00802,             0.00802
                   5,            0.068698,             0.28839,            0.025291,             0.73477,             0.31556,             0.30269,             0.14149,            0.065144,              0.2244,            0.023638,             0.00736,             0.00736,             0.00736
                   6,            0.065738,             0.27797,            0.023607,             0.76891,             0.31064,             0.34722,             0.15958,            0.065143,             0.21945,            0.022545,              0.0067,              0.0067,              0.0067
                   7,            0.062681,             0.27703,            0.023026,             0.82129,             0.35418,             0.43911,              0.2215,             0.05768,             0.21096,            0.021604,             0.00604,             0.00604,             0.00604
                   8,            0.061649,             0.27442,            0.022178,             0.85695,             0.35878,             0.48648,             0.24238,            0.058165,             0.21441,            0.021021,             0.00538,             0.00538,             0.00538
                   9,            0.059277,             0.26942,            0.021534,             0.29417,             0.63707,             0.51094,             0.28473,            0.052874,             0.20971,            0.020595,             0.00472,             0.00472,             0.00472
                  10,            0.057547,             0.26549,            0.021587,             0.34422,             0.63844,             0.50471,              0.2796,            0.052694,             0.20629,            0.020278,             0.00406,             0.00406,             0.00406
                  11,            0.057061,             0.26712,            0.020754,              0.3974,             0.63381,             0.52867,             0.27664,            0.054144,              0.2087,            0.019319,              0.0034,              0.0034,              0.0034
                  12,            0.055823,             0.26661,            0.020284,             0.41247,             0.65292,             0.53989,             0.31301,            0.050461,             0.20599,            0.019118,             0.00274,             0.00274,             0.00274
                  13,            0.055055,             0.26637,            0.019726,             0.45193,             0.64125,             0.56769,             0.33346,            0.049703,             0.20297,            0.018543,             0.00208,             0.00208,             0.00208
                  14,            0.054853,             0.26873,            0.018984,             0.46963,             0.62843,             0.56832,             0.33752,             0.04944,             0.20167,            0.018522,             0.00142,             0.00142,             0.00142
