               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  38,            0.048547,             0.39089,            0.019086,             0.40787,             0.58724,             0.47584,             0.26058,             0.03992,             0.34476,            0.028265,            0.007558,            0.007558,            0.007558
                  39,            0.049767,             0.39452,            0.019927,             0.35138,             0.54897,             0.36843,             0.19848,            0.041828,             0.34296,            0.057804,            0.007492,            0.007492,            0.007492
                  40,            0.048814,             0.40408,            0.018584,             0.42616,             0.64815,             0.50354,             0.24505,            0.043594,             0.35512,            0.025535,            0.007426,            0.007426,            0.007426
                  41,            0.051256,              0.4164,            0.019625,             0.37261,             0.65258,             0.45403,             0.20447,            0.044729,             0.35134,             0.03018,             0.00736,             0.00736,             0.00736
                  42,            0.049011,             0.40328,             0.01966,             0.42763,             0.64091,             0.44903,             0.22815,            0.043161,             0.36131,            0.028526,            0.007294,            0.007294,            0.007294
                  43,            0.049205,             0.39229,            0.020941,              0.3702,             0.53248,              0.3789,             0.17578,            0.053606,               0.413,            0.033116,            0.007228,            0.007228,            0.007228
                  44,            0.049137,             0.40899,            0.018853,             0.37095,             0.74764,             0.48777,             0.25069,            0.039886,              0.3318,            0.033213,            0.007162,            0.007162,            0.007162
                  45,            0.050194,             0.40058,            0.020144,             0.37471,             0.65012,             0.47068,             0.25735,            0.040801,             0.34296,            0.033624,            0.007096,            0.007096,            0.007096
                  46,            0.048732,             0.40114,            0.018676,             0.45852,             0.62527,             0.53405,             0.28672,            0.038868,             0.33136,            0.024583,             0.00703,             0.00703,             0.00703
                  47,            0.047421,             0.38745,            0.017917,             0.39024,             0.63221,             0.46824,             0.23678,            0.041713,             0.34601,            0.033024,            0.006964,            0.006964,            0.006964
                  48,            0.047254,              0.3777,            0.017938,             0.37788,             0.65381,             0.47173,             0.23727,            0.041513,             0.33359,            0.034951,            0.006898,            0.006898,            0.006898
                  49,            0.051078,             0.38818,            0.018217,             0.37089,             0.61271,             0.43093,             0.23861,            0.044616,             0.34896,            0.043984,            0.006832,            0.006832,            0.006832
                  50,            0.049398,             0.39374,            0.017404,             0.44816,             0.57257,             0.49133,              0.2467,            0.041756,             0.33607,            0.028302,            0.006766,            0.006766,            0.006766
                  51,            0.048936,             0.38049,            0.018471,             0.45636,             0.64839,              0.5599,             0.27821,            0.041848,             0.33156,            0.022748,              0.0067,              0.0067,              0.0067
                  52,            0.047497,             0.38052,            0.018375,             0.57146,             0.64716,             0.58396,              0.3147,            0.039927,             0.34332,            0.019661,            0.006634,            0.006634,            0.006634
                  53,            0.047663,             0.37574,            0.018213,             0.54682,              0.6416,             0.56468,             0.27345,            0.042042,             0.32676,            0.020451,            0.006568,            0.006568,            0.006568
                  54,            0.047381,             0.37886,            0.017542,             0.42093,             0.61101,             0.48469,             0.28563,            0.037754,             0.32805,            0.035077,            0.006502,            0.006502,            0.006502
                  55,            0.044902,             0.37941,            0.017282,             0.57974,             0.67568,             0.60363,              0.3123,            0.038754,             0.32781,            0.020781,            0.006436,            0.006436,            0.006436
                  56,             0.04578,             0.37567,            0.017291,             0.54941,             0.61471,              0.6091,             0.33844,            0.037866,             0.32031,            0.021714,             0.00637,             0.00637,             0.00637
                  57,            0.046617,             0.39862,            0.017137,             0.61695,             0.65602,              0.6306,              0.3479,             0.03835,             0.32335,            0.019224,            0.006304,            0.006304,            0.006304
                  58,            0.046424,             0.37896,            0.016037,             0.50037,             0.66586,             0.54205,             0.26808,            0.042911,             0.33174,            0.021982,            0.006238,            0.006238,            0.006238
                  59,            0.046362,              0.3784,            0.017773,             0.57314,             0.63993,             0.60923,             0.31509,            0.039992,             0.33275,            0.019685,            0.006172,            0.006172,            0.006172
                  60,            0.045959,             0.37882,            0.017187,             0.34351,             0.56514,             0.41071,             0.22553,            0.043641,             0.40509,            0.039958,            0.006106,            0.006106,            0.006106
                  61,            0.047616,             0.37481,             0.01821,             0.45867,             0.61249,              0.5124,             0.26939,                 nan,                 nan,            0.067509,             0.00604,             0.00604,             0.00604
                  62,            0.045672,             0.38384,            0.017147,             0.39957,             0.68463,             0.42704,             0.21563,                 nan,                 nan,                 nan,            0.005974,            0.005974,            0.005974
                  63,            0.046673,             0.38366,            0.017982,             0.54475,             0.61371,             0.57311,              0.3071,                 nan,                 nan,                 nan,            0.005908,            0.005908,            0.005908
                  64,            0.045254,             0.37292,            0.016537,              0.5385,             0.60478,             0.56103,             0.29363,                 nan,                 nan,                 nan,            0.005842,            0.005842,            0.005842
                  65,            0.045265,             0.37351,             0.01694,             0.52096,             0.67913,             0.57253,              0.3063,                 nan,                 nan,            0.033423,            0.005776,            0.005776,            0.005776
                  66,            0.043644,             0.35119,            0.016259,             0.50469,             0.66433,             0.57106,             0.32732,             0.03806,             0.33363,            0.025216,             0.00571,             0.00571,             0.00571
                  67,            0.042997,             0.36844,            0.016913,             0.50621,             0.63084,             0.55106,             0.29321,            0.038445,              0.3326,            0.021647,            0.005644,            0.005644,            0.005644
                  68,            0.042656,              0.3418,            0.016165,             0.51472,             0.54511,             0.53395,             0.31343,            0.036425,             0.32566,            0.026794,            0.005578,            0.005578,            0.005578
                  69,            0.044304,              0.3817,              0.0171,             0.45382,             0.69394,             0.51143,             0.26379,            0.039803,              0.3432,            0.023404,            0.005512,            0.005512,            0.005512
                  70,            0.044554,              0.3836,            0.017539,             0.52687,             0.63647,             0.56192,             0.30923,             0.03835,             0.33459,            0.022539,            0.005446,            0.005446,            0.005446
                  71,            0.043705,             0.37439,            0.017718,             0.42069,             0.62322,             0.48363,             0.27157,            0.038361,             0.34328,            0.042672,             0.00538,             0.00538,             0.00538
                  72,            0.044219,              0.3726,            0.015956,             0.45527,             0.62266,             0.51472,             0.29678,            0.037811,             0.32593,            0.030853,            0.005314,            0.005314,            0.005314
                  73,            0.045709,             0.37833,             0.01595,             0.44337,             0.66241,             0.53436,             0.29318,            0.038849,             0.33265,             0.03242,            0.005248,            0.005248,            0.005248
                  74,            0.044576,             0.37008,             0.01548,             0.41959,             0.69331,             0.56935,             0.31955,            0.036581,             0.31884,            0.027608,            0.005182,            0.005182,            0.005182
                  75,            0.042392,             0.36648,            0.016214,             0.45361,             0.70938,             0.58532,             0.34557,            0.036824,             0.31709,            0.031502,            0.005116,            0.005116,            0.005116
                  76,            0.043576,             0.36466,            0.015985,             0.55797,             0.58207,             0.57002,             0.31437,             0.03864,             0.32858,             0.02055,             0.00505,             0.00505,             0.00505
                  77,            0.042768,             0.36579,            0.016258,             0.50253,             0.61507,             0.58496,             0.33435,              0.0389,             0.32674,            0.024597,            0.004984,            0.004984,            0.004984
                  78,             0.04369,             0.36663,            0.015414,             0.53846,             0.64556,             0.57972,             0.32884,            0.036874,             0.33384,            0.022464,            0.004918,            0.004918,            0.004918
                  79,            0.043043,             0.35972,            0.015388,              0.5618,             0.56156,             0.56923,             0.29328,            0.038388,             0.31832,            0.021154,            0.004852,            0.004852,            0.004852
                  80,            0.043503,             0.36351,            0.015454,             0.57533,             0.67242,             0.62784,             0.33594,            0.037712,             0.32507,            0.021878,            0.004786,            0.004786,            0.004786
                  81,            0.043453,             0.35821,            0.015226,              0.6133,             0.64915,             0.64086,             0.36974,            0.035999,             0.31901,            0.017736,             0.00472,             0.00472,             0.00472
                  82,            0.043953,             0.37265,            0.015474,             0.56435,             0.59845,             0.59763,             0.34098,            0.036711,             0.32097,             0.01998,            0.004654,            0.004654,            0.004654
                  83,            0.042986,             0.36176,            0.015486,             0.61395,             0.67432,              0.6449,             0.29326,            0.039132,             0.31514,            0.019064,            0.004588,            0.004588,            0.004588
                  84,            0.043963,             0.36159,            0.015544,             0.61974,             0.68291,             0.64142,             0.35424,            0.036456,             0.31522,             0.01698,            0.004522,            0.004522,            0.004522
                  85,            0.045356,             0.37255,            0.015358,             0.59175,             0.67775,             0.63878,             0.34921,            0.037312,             0.31398,            0.018061,            0.004456,            0.004456,            0.004456
