               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11652,             0.38503,            0.047277,            0.014983,            0.020714,           0.0080215,           0.0017776,             0.10931,             0.38013,            0.043091,              0.0964,              0.0004,              0.0004
                   1,             0.11318,             0.41984,             0.04689,            0.021349,            0.017738,            0.010954,           0.0021969,              0.1022,              0.3905,            0.042725,            0.091896,          0.00089554,          0.00089554
                   2,             0.10543,             0.40952,            0.046244,            0.016137,            0.034284,           0.0087112,           0.0022477,            0.095051,             0.42993,            0.043225,            0.087386,           0.0013861,           0.0013861
                   3,             0.10017,             0.44776,            0.045497,             0.04975,            0.084618,            0.031682,           0.0077461,            0.095357,              0.5578,            0.045618,            0.082872,           0.0018718,           0.0018718
                   4,            0.094831,              0.4269,              0.0444,            0.054334,            0.082508,            0.031599,           0.0086135,             0.09005,             0.73425,            0.046753,            0.078352,           0.0023525,           0.0023525
                   5,             0.08946,             0.43665,            0.042535,             0.10059,            0.087553,            0.052655,            0.013944,            0.084603,             0.89172,            0.048218,            0.073828,           0.0028282,           0.0028282
                   6,            0.080871,             0.40585,             0.04029,             0.13249,             0.13906,             0.07609,            0.021566,            0.077355,              1.2063,            0.048169,            0.069299,            0.003299,            0.003299
                   7,            0.074615,             0.39606,            0.039173,            0.089342,             0.12738,            0.049531,            0.013038,             0.07772,             0.94446,            0.045544,            0.064765,           0.0037649,           0.0037649
                   8,            0.069601,             0.41283,            0.037981,             0.11516,             0.15623,            0.068832,            0.022105,            0.070962,             0.84705,            0.043542,            0.060226,           0.0042258,           0.0042258
                   9,            0.069077,             0.41507,            0.037413,             0.10894,             0.20926,            0.070877,            0.020646,            0.072776,              0.7085,            0.041431,            0.055682,           0.0046817,           0.0046817
                  10,            0.068279,             0.37285,            0.036915,             0.11417,             0.23634,            0.077836,            0.026546,             0.07288,             0.66028,            0.040234,            0.051133,           0.0051327,           0.0051327
                  11,            0.067247,             0.42171,            0.035827,             0.15706,             0.33492,             0.12138,            0.042021,            0.064323,             0.55884,            0.039099,            0.046579,           0.0055787,           0.0055787
                  12,            0.062831,             0.40269,            0.035174,             0.19274,             0.41431,             0.17774,            0.067473,            0.055416,             0.51733,            0.038257,             0.04202,           0.0060198,           0.0060198
                  13,            0.058964,             0.41798,            0.034154,             0.14052,             0.44064,             0.13047,            0.043193,             0.06341,             0.46539,            0.037842,            0.037456,            0.006456,            0.006456
                  14,             0.05885,             0.40409,            0.033334,             0.17278,             0.46962,             0.20123,            0.075305,            0.058589,             0.50012,            0.037164,            0.032887,           0.0068872,           0.0068872
