               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11652,             0.38501,            0.047277,            0.013215,             0.02036,           0.0071389,           0.0015073,              0.1093,             0.38037,            0.043091,              0.0964,              0.0004,              0.0004
                   1,              0.1132,             0.41981,            0.046891,            0.021065,            0.016684,            0.010804,            0.002195,             0.10228,             0.39014,            0.042725,            0.091882,          0.00088218,          0.00088218
                   2,             0.10552,             0.40925,            0.046255,            0.015921,             0.03386,           0.0085668,           0.0021911,             0.09512,             0.42865,            0.043188,            0.087345,           0.0013446,           0.0013446
                   3,             0.10034,             0.44784,            0.045531,            0.045779,            0.080123,            0.029511,           0.0073736,            0.095511,              0.5437,            0.045544,            0.082787,           0.0017871,           0.0017871
                   4,            0.095183,             0.42758,            0.044493,            0.052868,            0.086611,            0.031323,           0.0081605,            0.090924,             0.70801,            0.046594,             0.07821,           0.0022099,           0.0022099
                   5,            0.090109,             0.43744,            0.042737,             0.10239,            0.090123,            0.054244,            0.014482,            0.085067,             0.86328,            0.048108,            0.073613,           0.0026129,           0.0026129
                   6,            0.081871,             0.40635,            0.040601,             0.12616,             0.13562,            0.072214,            0.019387,            0.079405,              1.0742,            0.048145,            0.068996,           0.0029961,           0.0029961
                   7,             0.07484,             0.39828,            0.039467,             0.13608,              0.1387,            0.074977,            0.025102,            0.074645,              1.0034,            0.045996,            0.064359,           0.0033595,           0.0033595
                   8,            0.071819,             0.40761,            0.038136,             0.12934,             0.16961,            0.076024,              0.0263,            0.068709,             0.77466,            0.043396,            0.059703,            0.003703,            0.003703
                   9,            0.067091,             0.41803,            0.037517,             0.12246,             0.22271,            0.082482,            0.026973,            0.067213,             0.69092,            0.041223,            0.055027,           0.0040268,           0.0040268
                  10,            0.065384,             0.37838,            0.037247,             0.12703,             0.27107,             0.09254,            0.032708,             0.06622,             0.57812,             0.04021,            0.050331,           0.0043308,           0.0043308
                  11,             0.06486,             0.42571,            0.036126,             0.16378,             0.32873,              0.1296,            0.045957,            0.058943,             0.55542,             0.03938,            0.045615,            0.004615,            0.004615
                  12,            0.061112,             0.40209,            0.035619,             0.15561,             0.34227,             0.12852,            0.042795,             0.06322,             0.53632,            0.038525,            0.040879,           0.0048794,           0.0048794
                  13,            0.060396,             0.41482,            0.034706,              0.1517,             0.44115,             0.14116,            0.045908,            0.059263,             0.43597,            0.037964,            0.036124,           0.0051239,           0.0051239
                  14,            0.057149,             0.40458,            0.033948,             0.17712,             0.43875,             0.17751,            0.066777,             0.06165,             0.47876,            0.037451,            0.031349,           0.0053487,           0.0053487
                  15,            0.062135,             0.38975,            0.032887,             0.23071,             0.47384,               0.244,             0.10667,            0.049016,             0.40472,            0.037122,            0.026554,           0.0055537,           0.0055537
                  16,            0.059575,             0.39729,            0.031698,             0.18325,             0.48697,             0.19431,            0.067433,            0.059361,             0.40894,             0.03645,            0.021739,           0.0057389,           0.0057389
                  17,            0.060195,             0.36958,            0.030218,             0.26246,             0.54857,             0.28241,            0.092273,            0.057114,             0.38245,            0.035883,            0.016904,           0.0059043,           0.0059043
                  18,            0.057103,             0.39619,            0.029402,              0.2818,             0.60033,             0.31897,             0.12779,            0.049326,             0.38391,            0.034601,             0.01205,           0.0060498,           0.0060498
                  19,            0.054804,             0.38973,            0.028327,              0.2868,             0.57182,             0.29831,               0.139,            0.047597,             0.37109,            0.034802,           0.0071756,           0.0061756,           0.0061756
                  20,            0.055026,              0.4008,            0.027062,             0.25582,             0.54228,             0.28042,             0.11085,            0.051439,             0.38733,            0.035181,             0.00604,             0.00604,             0.00604
                  21,            0.053078,              0.3925,              0.0258,             0.27303,               0.646,             0.29359,              0.1181,            0.054405,             0.37256,            0.033594,             0.00604,             0.00604,             0.00604
                  22,            0.054781,             0.38137,            0.025008,             0.25948,             0.67951,             0.33147,             0.15236,             0.04827,             0.36182,            0.032416,            0.005842,            0.005842,            0.005842
                  23,            0.052912,             0.37932,            0.023503,             0.23681,             0.67701,             0.32511,              0.1387,            0.050957,             0.37067,            0.031512,            0.005644,            0.005644,            0.005644
                  24,            0.052204,              0.3679,            0.022929,             0.28325,             0.62026,             0.34857,             0.15588,            0.047897,             0.35553,            0.032178,            0.005446,            0.005446,            0.005446
                  25,            0.052395,             0.38433,            0.022155,             0.30609,              0.5136,             0.33024,             0.16336,            0.044503,             0.36145,            0.031018,            0.005248,            0.005248,            0.005248
                  26,            0.050655,             0.37046,            0.022138,             0.32565,             0.61559,             0.38647,             0.16199,            0.045982,             0.38068,            0.028436,             0.00505,             0.00505,             0.00505
